mes,precipitacion_mm,temp_max_c,temp_min_c,estacion
1,0.019396195202646814,32.506304985337245,16.201276276276275,Ocucaje
2,0.032988826815642455,33.40795081967213,17.066757425742573,Ocucaje
3,0.01009098428453267,33.43374908290535,16.713289280469898,Ocucaje
4,0.0017027027027027028,31.752598913886732,14.187393328161365,Ocucaje
5,0.0026329555361813426,28.91875480399693,10.752884615384616,Ocucaje
6,0.0023983739837398375,25.62488372093023,9.136871212121212,Ocucaje
7,0.00424483306836248,24.450445103857565,8.976075471698113,Ocucaje
8,0.001174524400330852,25.466466165413536,9.078333333333333,Ocucaje
9,0.008192982456140351,27.262703962703963,9.833055555555555,Ocucaje
10,0.0011166253101736973,29.054794520547944,10.889085318985396,Ocucaje
11,0.0002792792792792793,30.049062754686226,12.129714285714286,Ocucaje
12,0.0031909328683522235,31.4221198156682,14.196066089693156,Ocucaje
1,0.11516815374056281,31.43624113475177,17.583907238229095,San Camilo
2,0.09721146398140976,32.37498087222647,18.268577981651376,San Camilo
3,0.07466397849462365,32.59261700725116,17.567859554355167,San Camilo
4,0.0031884057971014496,31.362766689607707,15.440094979647219,San Camilo
5,0.0017921146953405018,28.64573041637262,12.346334716459197,San Camilo
6,0.006811594202898551,25.626239511823037,10.693170381020849,San Camilo
7,0.007741935483870969,24.70201082753287,10.164770390678546,San Camilo
8,0.004587813620071685,25.610885885885885,10.196675712347353,San Camilo
9,0.002740740740740741,27.16587537091988,10.86385625431928,San Camilo
10,0.0010043041606886656,28.481460272011454,11.905925925925926,San Camilo
11,0.00425531914893617,29.34927975739196,13.393998604326587,San Camilo
12,0.01311360448807854,30.451060716898315,15.628787878787879,San Camilo
